year,institute_name,overall_avg_ctc,cse_avg_ctc,ece_avg_ctc,institute_type,cse_vs_ece_gap
2020,ABV-IIITM Gwalior,16.85,27.23,16.0,IIIT,11.23
2020,IIIT Agartala,22.0,19.5,13.83,IIIT,5.67
2020,IIIT Allahabad,20.83,20.83,16.0,IIIT,4.829999999999998
2020,IIIT Bangalore,24.88,32.3,36.2,IIIT,-3.9000000000000057
2020,IIIT Bhagalpur,10.35,10.76,10.35,IIIT,0.41000000000000014
2020,IIIT Bhopal,12.32,16.9,16.98,IIIT,-0.08000000000000185
2020,IIIT Bhubaneswar,15.8,10.0,8.0,IIIT,2.0
2020,IIIT Delhi,16.97,16.97,25.39,IIIT,-8.420000000000002
2020,IIIT Dharwad,7.0,7.0,10.0,IIIT,-3.0
2020,IIIT Guwahati,15.0,14.49,6.26,IIIT,8.23
2020,IIIT Hyderabad,26.44,30.744999999999997,21.39,IIIT,9.354999999999997
2020,IIIT Kalyani,6.5,6.2,10.72,IIIT,-4.5200000000000005
2020,IIIT Kota,10.42,13.24,13.09,IIIT,0.15000000000000036
2020,IIIT Kottayam,11.91,11.93,11.91,IIIT,0.019999999999999574
2020,IIIT Kurnool,7.64,7.64,8.3,IIIT,-0.660000000000001
2020,IIIT Lucknow,18.42,18.42,18.42,IIIT,0.0
2020,IIIT Manipur,8.7,8.7,8.7,IIIT,0.0
2020,IIIT Nagpur,10.43,8.75,13.25,IIIT,-4.5
2020,IIIT Naya Raipur,8.0,16.25,13.9,IIIT,2.3499999999999996
2020,IIIT Pune,7.5,7.5,17.12,IIIT,-9.620000000000001
2020,IIIT Raichur,12.0,12.14,17.01,IIIT,-4.870000000000001
2020,IIIT Ranchi,7.2,6.2,12.14,IIIT,-5.94
2020,IIIT Sri City,12.02,16.71,10.01,IIIT,6.700000000000001
2020,IIIT Surat,13.99,13.625,13.99,IIIT,-0.3650000000000002
2020,IIIT Una,8.0,12.38,9.9,IIIT,2.4800000000000004
2020,IIIT Vadodara,11.0,13.0,12.0,IIIT,1.0
2020,IIITDM Jabalpur,6.42,8.5,21.49,IIIT,-12.989999999999998
2020,IIITDM Kancheepuram,9.8,9.6,11.09,IIIT,-1.4900000000000002
2021,ABV-IIITM Gwalior,16.85,16.85,16.85,IIIT,0.0
2021,IIIT Agartala,22.0,22.0,13.83,IIIT,8.17
2021,IIIT Allahabad,21.85,22.5,21.85,IIIT,0.6499999999999986
2021,IIIT Bangalore,20.1,16.5,14.2,IIIT,2.3000000000000007
2021,IIIT Bhagalpur,10.35,10.35,10.35,IIIT,0.0
2021,IIIT Bhopal,9.26,19.1,8.23,IIIT,10.870000000000001
2021,IIIT Bhubaneswar,6.5,11.0,8.0,IIIT,3.0
2021,IIIT Delhi,16.81,16.81,16.81,IIIT,0.0
2021,IIIT Dharwad,7.3,7.3,7.3,IIIT,0.0
2021,IIIT Guwahati,10.13,11.59,6.48,IIIT,5.109999999999999
2021,IIIT Hyderabad,20.32,30.0,24.0,IIIT,6.0
2021,IIIT Kalyani,8.0,8.0,8.0,IIIT,0.0
2021,IIIT Kota,10.6,13.09,13.09,IIIT,0.0
2021,IIIT Kottayam,9.07,9.07,9.07,IIIT,0.0
