year,institute_name,overall_avg_ctc,cse_avg_ctc,ece_avg_ctc,ee_avg_ctc,me_avg_ctc
2020,IIT Bhilai,11.3,11.82,12.0,11.21,7.51
2020,IIT Bhubaneswar,15.8,22.6,15.8,15.8,12.0
2020,IIT Bombay,20.08,20.08,17.91,20.08,20.65
2020,IIT Delhi,16.0,15.81,15.5,16.0,15.0
2020,IIT Dhanbad,17.56,18.0,15.0,12.0,14.08
2020,IIT Dharwad,7.0,7.0,7.0,8.0,7.0
2020,IIT Gandhinagar,8.29,8.0,8.96,19.6,19.6
2020,IIT Goa,13.0,15.51,15.51,15.51,15.51
2020,IIT Guwahati,10.78,20.0,12.3,25.93,18.19
2020,IIT Hyderabad,22.07,25.69,26.82,26.82,22.07
2020,IIT Indore,23.5,25.5,21.2,25.7,15.6
2020,IIT Jammu,12.28,12.2,12.28,12.2,12.28
2020,IIT Jodhpur,16.73,14.33,16.5,20.0,14.0
2020,IIT Kanpur,11.02,11.02,11.02,27.6,7.5
2020,IIT Kharagpur,19.0,29.21,20.0,19.5,16.0
2020,IIT Madras,18.12,25.0,18.12,27.28,18.12
2020,IIT Mandi,24.78,15.0,19.92,19.92,10.0
2020,IIT Palakkad,9.93,11.42,9.93,15.88,9.93
2020,IIT Patna,14.76,14.0,14.0,14.76,14.76
2020,IIT Roorkee,16.0,18.0,15.5,13.12,10.33
2020,IIT Ropar,15.85,15.85,15.85,15.85,15.85
2020,IIT Tirupati,11.0,14.0,11.0,14.0,10.95
2020,IIT Varanasi,16.69,18.34,16.69,22.77,16.69
2021,IIT Bhilai,12.0,14.72,10.37,10.37,6.96
2021,IIT Bhubaneswar,16.27,16.27,20.3,19.4,12.0
2021,IIT Bombay,20.8,17.91,18.17,20.08,17.91
2021,IIT Delhi,17.6,17.81,17.6,17.6,17.6
2021,IIT Dhanbad,10.0,19.72,15.0,19.72,14.08
2021,IIT Dharwad,10.0,21.3,8.0,12.63,12.63
2021,IIT Gandhinagar,9.0,15.35,15.0,19.6,19.6
2021,IIT Goa,11.6,15.32,16.0,15.92,15.92
2021,IIT Guwahati,23.42,21.06,6.48,25.93,21.42
2021,IIT Hyderabad,15.41,20.32,24.0,26.1,22.5
2021,IIT Indore,23.5,23.5,21.2,25.7,21.88
2021,IIT Jammu,12.2,11.36,11.36,11.36,14.2
2021,IIT Jodhpur,24.38,12.0,12.0,12.0,12.0
2021,IIT Kanpur,29.0,29.0,27.6,27.6,19.7
2021,IIT Kharagpur,19.0,15.0,21.28,21.14,15.0
2021,IIT Madras,20.58,52.32,18.43,27.28,18.5
2021,IIT Mandi,18.0,13.5,20.85,20.85,13.36
2021,IIT Palakkad,11.42,11.42,11.42,15.88,11.42
2021,IIT Patna,16.7,17.13,17.13,14.76,12.62
2021,IIT Roorkee,40.0,16.0,23.52,13.12,16.5
2021,IIT Ropar,14.56,15.85,22.09,22.09,22.09
2021,IIT Tirupati,11.0,11.0,11.0,11.0,11.0
2021,IIT Varanasi,11.5,18.34,21.89,17.81,17.81
2022,IIT Bhilai,14.12,17.55,14.04,14.04,10.15
2022,IIT Bhubaneswar,18.95,22.4,21.2,20.94,10.34
2022,IIT Bombay,21.5,49.6,21.5,23.5,20.65
2022,IIT Delhi,20.5,24.45,20.5,20.5,21.9
2022,IIT Dhanbad,17.3,19.72,15.0,21.0,17.56
2022,IIT Dharwad,15.17,18.53,12.56,12.56,15.17
2022,IIT Gandhinagar,15.35,15.35,14.17,17.67,10.43
2022,IIT Goa,23.4,27.03,30.75,30.75,12.28
2022,IIT Guwahati,26.27,30.0,25.93,25.93,19.0
2022,IIT Hyderabad,20.7,27.11,29.0,29.75,19.73
2022,IIT Indore,23.5,22.56,21.2,25.7,16.62
2022,IIT Jammu,19.34,23.19,18.65,18.65,15.12
2022,IIT Jodhpur,24.0,28.0,14.0,20.0,12.0
2022,IIT Kanpur,29.7,42.89,29.57,33.04,25.18
2022,IIT Kharagpur,45.43,18.75,21.28,21.14,13.5
2022,IIT Madras,17.0,52.32,21.0,27.28,18.5
2022,IIT Mandi,25.23,33.68,25.0,21.0,13.47
2022,IIT Palakkad,13.93,13.93,12.7,12.7,10.33
2022,IIT Patna,28.26,28.26,28.86,33.04,18.22
2022,IIT Roorkee,16.8,17.0,23.52,16.8,15.0
2022,IIT Ropar,20.24,20.24,22.09,30.75,20.24
2022,IIT Tirupati,15.54,24.94,15.54,14.1,15.54
2022,IIT Varanasi,21.89,21.89,27.5,26.57,21.89
2023,IIT Bhilai,15.31,18.97,18.97,14.03,12.57
2023,IIT Bhubaneswar,17.16,23.21,19.25,19.05,12.57
2023,IIT Bombay,21.82,23.5,21.82,23.5,22.7
2023,IIT Delhi,20.0,20.0,23.65,20.5,20.0
2023,IIT Dhanbad,15.66,27.29,24.02,17.56,14.91
2023,IIT Dharwad,17.0,21.38,14.69,14.69,9.44
2023,IIT Gandhinagar,19.6,29.29,19.6,17.88,23.25
2023,IIT Goa,17.19,21.52,16.99,16.99,14.76
2023,IIT Guwahati,25.75,41.0,11.0,27.3,11.89
2023,IIT Hyderabad,26.51,24.32,28.07,27.54,20.73
2023,IIT Indore,25.45,32.6,25.7,25.7,23.5
2023,IIT Jammu,17.0,24.05,19.16,19.16,14.19
2023,IIT Jodhpur,16.0,23.0,22.0,22.0,19.0
2023,IIT Kanpur,26.27,52.8,18.14,33.04,28.7
2023,IIT Kharagpur,24.0,24.0,21.28,21.14,15.0
2023,IIT Madras,17.0,52.32,27.0,27.28,18.5
2023,IIT Mandi,22.0,34.46,22.38,24.58,13.36
2023,IIT Palakkad,13.95,21.16,11.58,12.7,11.6
2023,IIT Patna,20.0,24.56,11.42,33.04,24.56
2023,IIT Roorkee,18.34,18.34,18.34,18.34,18.34
2023,IIT Ropar,22.09,20.24,20.99,23.12,20.99
2023,IIT Tirupati,25.25,25.25,16.51,16.51,12.3
2023,IIT Varanasi,22.77,21.04,22.77,26.57,22.77
2024,IIT Bhilai,13.09,18.97,18.97,12.26,9.64
