institute_name,institute_type,city,state,city_tier,total_fee_4yr,total_fee_5yr,hostel_available,campus_area,infra_rating,campus_status,offers_5yr_program
IIT Kharagpur,IIT,Kharagpur,West Bengal,3,1065980,1118000.0,True,2100.0,4.8,Available,True
IIT Bombay,IIT,Bombay,Maharashtra,1,882500,2383000.0,True,550.0,4.9,Available,True
IIT Kanpur,IIT,Kanpur,Uttar Pradesh,2,918880,1077000.0,True,1055.0,4.7,Available,True
IIT Madras,IIT,Chennai,Tamil Nadu,1,938668,939000.0,True,620.0,4.8,Available,True
IIT Delhi,IIT,Delhi,Delhi,1,862550,1233000.0,True,350.0,4.9,Available,True
IIT Guwahati,IIT,Guwahati,Assam,2,903700,904000.0,True,704.0,4.9,Available,True
IIT Roorkee,IIT,Roorkee,Uttarakhand,2,887000,1049000.0,True,365.0,4.8,Available,True
IIT Jodhpur,IIT,Jodhpur,Rajasthan,2,1033000,255000.0,True,852.0,4.8,Available,True
IIT Ropar,IIT,Ropar,Punjab,2,1003000,948000.0,True,545.0,4.5,Available,True
IIT Gandhinagar,IIT,Gandhinagar,Gujarat,2,879454,1000000.0,True,450.0,4.8,Available,True
IIT Hyderabad,IIT,Hyderabad,Telangana,1,942552,2250000.0,True,576.0,4.9,Available,True
IIT Patna,IIT,Patna,Bihar,2,999250,1000000.0,True,501.0,4.2,Available,True
IIT Bhubaneswar,IIT,Bhubaneswar,Odisha,2,905560,1128000.0,True,936.0,4.3,Available,True
IIT Mandi,IIT,Mandi,Himachal Pradesh,3,825000,1071000.0,True,538.0,4.1,Available,True
IIT Indore,IIT,Indore,Madhya Pradesh,2,881000,1440000.0,True,501.0,4.7,Available,True
IIT (BHU) Varanasi,IIT,Varanasi,Uttar Pradesh,2,835000,1041000.0,True,1300.0,4.2,Available,True
IIT Palakkad,IIT,Palakkad,Kerala,3,905960,1000000.0,True,500.0,4.0,Available,True
IIT Tirupati,IIT,Tirupati,Andhra Pradesh,2,881680,882000.0,True,539.0,3.9,Available,True
IIT (ISM) Dhanbad,IIT,Dhanbad,Jharkhand,2,1201000,1038000.0,True,458.0,4.6,Available,True
IIT Bhilai,IIT,Bhilai,Chhattisgarh,2,929000,1319000.0,True,447.0,4.1,Available,True
IIT Dharwad,IIT,Dharwad,Karnataka,2,919000,1131000.0,False,470.0,4.0,Available,True
IIT Jammu,IIT,Jammu,Jammu and Kashmir,2,1060000,1069000.0,True,400.0,4.0,Available,True
IIT Goa,IIT,Goa,Goa,2,852568,1000000.0,True,320.0,4.0,Available,True
NIT Karnataka,NIT,Surathkal,Karnataka,3,797000,0.0,True,296.0,4.9,Available,False
NIT Warangal,NIT,Warangal,Telangana,2,543000,640000.0,True,248.0,4.8,Available,True
NIT Bhopal,NIT,Bhopal,Madhya Pradesh,2,580000,766000.0,True,650.0,4.7,Available,True
IIEST Shibpur,NIT,Shibpur,West Bengal,2,568000,739000.0,True,114.0,4.7,Available,True
NIT Nagpur,NIT,Nagpur,Maharashtra,2,769000,0.0,True,215.26,4.6,Available,False
NIT Durgapur,NIT,Durgapur,West Bengal,2,626000,0.0,True,187.0,4.6,Available,False
NIT Jamshedpur,NIT,Jamshedpur,Jharkhand,2,628000,740000.0,True,343.0,4.5,Available,True
NIT Srinagar,NIT,Srinagar,Jammu and Kashmir,2,743000,848000.0,True,67.0,4.5,Available,True
NIT Allahabad,NIT,Prayagraj,Uttar Pradesh,2,788000,828000.0,True,222.0,4.6,Available,True
NIT Surat,NIT,Surat,Gujarat,1,677000,745000.0,True,250.0,4.5,Available,True
NIT Calicut,NIT,Kozhikode,Kerala,2,846000,760000.0,True,300.0,4.6,Available,True
NIT Rourkela,NIT,Rourkela,Odisha,2,743000,743000.0,True,650.0,4.8,Available,True
NIT Jaipur,NIT,Jaipur,Rajasthan,1,736000,725000.0,True,317.0,4.6,Available,True
NIT Kurukshetra,NIT,Kurukshetra,Haryana,2,678000,691000.0,True,300.0,4.4,Available,True
NIT Tiruchirappalli,NIT,Tiruchirappalli,Tamil Nadu,2,1062000,640000.0,True,800.0,4.7,Available,True
NIT Silchar,NIT,Silchar,Assam,3,544000,826000.0,True,540.0,4.3,Available,True
NIT Hamirpur,NIT,Hamirpur,Himachal Pradesh,2,794000,625000.0,True,320.0,4.2,Available,True
NIT Jalandhar,NIT,Jalandhar,Punjab,2,656000,650000.0,True,154.0,4.3,Available,True
NIT Patna,NIT,Patna,Bihar,1,723000,770000.0,True,36.0,4.1,Available,True
NIT Raipur,NIT,Raipur,Chhattisgarh,2,646000,700000.0,True,100.0,4.2,Available,True
