institute_name,institute_type,city,state,city_tier,total_fee_4yr,total_fee_5yr,hostel_available,campus_area,infra_rating
IIT Kharagpur,IIT,Kharagpur,West Bengal,3,1065980.0,1118000.0,Y,2100.0,4.8
IIT Bombay,IIT,Bombay,Maharashtra,1,882500.0,2383000.0,Y,550.0,4.9
IIT Kanpur,IIT,Kanpur,Uttar Pradesh,2,918880.0,1077000.0,Y,1055.0,4.7
IIT Madras,IIT,Chennai,Tamil Nadu,1,938668.0,939000.0,Y,620.0,4.8
IIT Delhi,IIT,Delhi,Delhi,1,862550.0,1233000.0,Y,350.0,4.9
IIT Guwahati,IIT,Guwahati,Assam,2,903700.0,904000.0,Y,704.0,4.9
IIT Roorkee,IIT, Roorkee,Uttarakhand,2,887000.0,1049000.0,Y,365.0,4.8
IIT Jodhpur,IIT,Jodhpur,Rajasthan,2,1033000.0,255000.0,Y,852.0,4.8
IIT Ropar,IIT,Ropar,Punjab,2,1003000.0,948000.0,Y,545.0,4.5
IIT Gandhinagar,IIT,Gandhinagar,Gujarat,2,879454.0,1000000.0,Y,450.0,4.8
IIT Hyderabad,IIT,Hyderabad,Telangana,1,942552.0,2250000.0,Y,576.0,4.9
IIT Patna,IIT,Patna,Bihar,2,999250.0,1000000.0,Y,501.0,4.2
IIT Bhubaneswar,IIT,Bhubaneswar,Odisha,2,905560.0,1128000.0,Y,936.0,4.3
IIT Mandi,IIT,Mandi,Himachal Pradesh,3,825000.0,1071000.0,Y,538.0,4.1
IIT Indore,IIT,Indore,Madhya Pradesh,2,881000.0,1440000.0,Y,501.0,4.7
IIT (BHU) Varanasi,IIT,Varanasi,Uttar Pradesh,2,835000.0,1041000.0,Y,1300.0,4.2
IIT Palakkad,IIT,Palakkad,Kerala,3,905960.0,1000000.0,Y,500.0,4.0
IIT Tirupati,IIT,Tirupati,Andhra Pradesh,2,881680.0,882000.0,Y,539.0,3.9
IIT (ISM) Dhanbad,IIT,Dhanbad,Jharkhand,2,1201000.0,1038000.0,Y,458.0,4.6
IIT Bhilai,IIT,Bhilai,Chhattisgarh,2,929000.0,1319000.0,Y,447.0,4.1
IIT Dharwad,IIT,Dharwad,Karnataka,2,919000.0,1131000.0,N,470.0,4.0
IIT Jammu,IIT,Jammu,Jammu and Kashmir,2,1060000.0,1069000.0,Y,400.0,4.0
IIT Goa,IIT,Goa,Goa,2,852568.0,1000000.0,Y,320.0,4.0
,,,,,,,,,
NIT Karnataka,NIT,Surathkal,Karnataka,3,797000.0,,Y,296.0,4.9
NIT Warangal,NIT,Warangal,Telangana,2,543000.0,640000.0,Y,248.0,4.8
NIT Bhopal,NIT,Bhopal,Madhya Pradesh,2,580000.0,766000.0,Y,650.0,4.7
IIEST Shibpur,NIT,Shibpur,West Bengal,2,568000.0,739000.0,Y,114.0,4.7
NIT Nagpur,NIT,Nagpur,Maharashtra,2,769000.0,,Y,215.26,4.6
NIT Durgapur,NIT,Durgapur,West Bengal,2,626000.0,,Y,187.0,4.6
NIT Jamshedpur,NIT,Jamshedpur,Jharkhand,2,628000.0,740000.0,Y,343.0,4.5
NIT Srinagar,NIT,Srinagar,Jammu and Kashmir,2,743000.0,848000.0,Y,67.0,4.5
NIT Allahabad,NIT,Prayagraj,Uttar Pradesh,2,788000.0,828000.0,Y,222.0,4.6
NIT Surat,NIT,Surat,Gujarat,1,677000.0,745000.0,Y,250.0,4.5
NIT Calicut,NIT,Kozhikode,Kerala,2,846000.0,760000.0,Y,300.0,4.6
NIT Rourkela,NIT,Rourkela,Odisha,2,743000.0,743000.0,Y,650.0,4.8
NIT Jaipur,NIT,Jaipur,Rajasthan,1,736000.0,725000.0,Y,317.0,4.6
NIT Kurukshetra,NIT,Kurukshetra,Haryana,2,678000.0,691000.0,Y,300.0,4.4
NIT Tiruchirappalli,NIT,Tiruchirappalli,Tamil Nadu,2,1062000.0,640000.0,Y,800.0,4.7
NIT Silchar,NIT,Silchar,Assam,3,544000.0,826000.0,Y,540.0,4.3
