Year,Institute,Academic Program Name,Program_Year,Quota,Seat Type,Gender,Opening Rank,Closing Rank,Round
2020.0,ABV-IIITMG,CSE (BTech),4,AI,OPEN,GN,6237.0,8722.0,6
2020.0,ABV-IIITMG,CSE (BTech),4,AI,OPEN,F,10468.0,12477.0,6
2020.0,ABV-IIITMG,CSE (BTech),4,AI,OPEN (PwD),GN,397.0,397.0,6
2020.0,ABV-IIITMG,CSE (BTech),4,AI,EWS,GN,1327.0,1692.0,6
2020.0,ABV-IIITMG,CSE (BTech),4,AI,EWS,F,2206.0,2206.0,6
2020.0,ABV-IIITMG,CSE (BTech),4,AI,OBC-NCL,GN,2459.0,3292.0,6
2020.0,ABV-IIITMG,CSE (BTech),4,AI,OBC-NCL,F,7412.0,7824.0,6
2020.0,ABV-IIITMG,CSE (BTech),4,AI,OBC-NCL (PwD),GN,226.0,226.0,6
2020.0,ABV-IIITMG,CSE (BTech),4,AI,SC,GN,1757.0,2191.0,6
2020.0,ABV-IIITMG,CSE (BTech),4,AI,SC,F,4375.0,4897.0,6
2020.0,ABV-IIITMG,CSE (BTech),4,AI,ST,GN,1190.0,1465.0,6
2020.0,ABV-IIITMG,CSE (BTech),4,AI,ST,F,2528.0,2528.0,6
2020.0,ABV-IIITMG,Int BTech+MTech (IT),5,AI,OPEN,GN,9118.0,13461.0,6
2020.0,ABV-IIITMG,Int BTech+MTech (IT),5,AI,OPEN,F,15153.0,22247.0,6
2020.0,ABV-IIITMG,Int BTech+MTech (IT),5,AI,OPEN (PwD),GN,412.0,412.0,6
2020.0,ABV-IIITMG,Int BTech+MTech (IT),5,AI,EWS,GN,2116.0,2440.0,6
2020.0,ABV-IIITMG,Int BTech+MTech (IT),5,AI,EWS,F,4370.0,5467.0,6
2020.0,ABV-IIITMG,Int BTech+MTech (IT),5,AI,EWS (PwD),GN,205.0,205.0,6
2020.0,ABV-IIITMG,Int BTech+MTech (IT),5,AI,OBC-NCL,GN,3692.0,5251.0,6
2020.0,ABV-IIITMG,Int BTech+MTech (IT),5,AI,OBC-NCL,F,9003.0,12366.0,6
2020.0,ABV-IIITMG,Int BTech+MTech (IT),5,AI,OBC-NCL (PwD),GN,557.0,557.0,6
2020.0,ABV-IIITMG,Int BTech+MTech (IT),5,AI,SC,GN,2246.0,3224.0,6
2020.0,ABV-IIITMG,Int BTech+MTech (IT),5,AI,SC,F,5110.0,6918.0,6
2020.0,ABV-IIITMG,Int BTech+MTech (IT),5,AI,ST,GN,1684.0,2775.0,6
2020.0,ABV-IIITMG,Int BTech+MTech (IT),5,AI,ST,F,2757.0,2757.0,6
2020.0,ABV-IIITMG,Int BTech+MBA (IT),5,AI,OPEN,GN,12226.0,18264.0,6
2020.0,ABV-IIITMG,Int BTech+MBA (IT),5,AI,OPEN,F,23650.0,27777.0,6
2020.0,ABV-IIITMG,Int BTech+MBA (IT),5,AI,OPEN (PwD),GN,1147.0,1147.0,6
2020.0,ABV-IIITMG,Int BTech+MBA (IT),5,AI,EWS,GN,3012.0,3743.0,6
2020.0,ABV-IIITMG,Int BTech+MBA (IT),5,AI,EWS,F,6389.0,6389.0,6
2020.0,ABV-IIITMG,Int BTech+MBA (IT),5,AI,OBC-NCL,GN,5363.0,7017.0,6
2020.0,ABV-IIITMG,Int BTech+MBA (IT),5,AI,OBC-NCL,F,10819.0,15945.0,6
2020.0,ABV-IIITMG,Int BTech+MBA (IT),5,AI,SC,GN,3620.0,4687.0,6
2020.0,ABV-IIITMG,Int BTech+MBA (IT),5,AI,SC,F,8462.0,9740.0,6
2020.0,ABV-IIITMG,Int BTech+MBA (IT),5,AI,ST,GN,1660.0,3122.0,6
2020.0,ABV-IIITMG,Int BTech+MBA (IT),5,AI,ST,F,3586.0,3586.0,6
2020.0,IIIT Kota,CSE (BTech),4,AI,OPEN,GN,11315.0,22320.0,6
2020.0,IIIT Kota,CSE (BTech),4,AI,OPEN (PwD),GN,1176.0,1528.0,6
2020.0,IIIT Kota,CSE (BTech),4,AI,EWS,GN,3765.0,4233.0,6
2020.0,IIIT Kota,CSE (BTech),4,AI,OBC-NCL,GN,6113.0,10000.0,6
2020.0,IIIT Kota,CSE (BTech),4,AI,SC,GN,4215.0,7250.0,6
2020.0,IIIT Kota,CSE (BTech),4,AI,ST,GN,1626.0,3562.0,6
2020.0,IIIT Kota,ECE (BTech),4,AI,OPEN,GN,24597.0,29813.0,6
2020.0,IIIT Kota,ECE (BTech),4,AI,OPEN (PwD),GN,1883.0,1883.0,6
2020.0,IIIT Kota,ECE (BTech),4,AI,EWS,GN,5020.0,5583.0,6
2020.0,IIIT Kota,ECE (BTech),4,AI,OBC-NCL,GN,10035.0,13230.0,6
2020.0,IIIT Kota,ECE (BTech),4,AI,SC,GN,7431.0,9063.0,6
2020.0,IIIT Kota,ECE (BTech),4,AI,ST,GN,3299.0,4962.0,6
2020.0,IIITG,CSE (BTech),4,AI,OPEN,GN,4996.0,21096.0,6
2020.0,IIITG,CSE (BTech),4,AI,OPEN,F,16048.0,27690.0,6
2020.0,IIITG,CSE (BTech),4,AI,OPEN (PwD),GN,756.0,991.0,6
2020.0,IIITG,CSE (BTech),4,AI,OBC-NCL,GN,4868.0,7936.0,6
2020.0,IIITG,CSE (BTech),4,AI,OBC-NCL,F,8190.0,15942.0,6
2020.0,IIITG,CSE (BTech),4,AI,SC,GN,1159.0,6279.0,6
2020.0,IIITG,CSE (BTech),4,AI,SC,F,7170.0,9414.0,6
2020.0,IIITG,CSE (BTech),4,AI,ST,GN,1515.0,3333.0,6
2020.0,IIITG,CSE (BTech),4,AI,ST,F,2099.0,3288.0,6
2020.0,IIITG,ECE (BTech),4,AI,OPEN,GN,22515.0,30601.0,6
2020.0,IIITG,ECE (BTech),4,AI,OPEN,F,30964.0,33596.0,6
