Year,Institute_Type,Institute,Academic Program Name,Program_Year,Quota,Seat Type,Gender,Opening Rank,Closing Rank,Round
2020.0,NIT,NIT Jalandhar,BioTech (BTech),4,HS,OPEN,GN,56242.0,81305.0,6
2020.0,NIT,NIT Jalandhar,BioTech (BTech),4,HS,OPEN,F,57261.0,66839.0,6
2020.0,NIT,NIT Jalandhar,BioTech (BTech),4,HS,EWS,GN,17053.0,20551.0,6
2020.0,NIT,NIT Jalandhar,BioTech (BTech),4,HS,EWS,F,24781.0,24781.0,6
2020.0,NIT,NIT Jalandhar,BioTech (BTech),4,HS,OBC-NCL,GN,70092.0,127839.0,6
2020.0,NIT,NIT Jalandhar,BioTech (BTech),4,HS,OBC-NCL,F,68024.0,68024.0,6
2020.0,NIT,NIT Jalandhar,BioTech (BTech),4,HS,SC,GN,12753.0,13935.0,6
2020.0,NIT,NIT Jalandhar,BioTech (BTech),4,HS,SC,F,13043.0,13043.0,6
2020.0,NIT,NIT Jalandhar,BioTech (BTech),4,OS,OPEN,GN,42005.0,43084.0,6
2020.0,NIT,NIT Jalandhar,BioTech (BTech),4,OS,OPEN,F,49060.0,49931.0,6
2020.0,NIT,NIT Jalandhar,BioTech (BTech),4,OS,OPEN (PWD),GN,1414.0,1414.0,6
2020.0,NIT,NIT Jalandhar,BioTech (BTech),4,OS,EWS,GN,7406.0,7517.0,6
2020.0,NIT,NIT Jalandhar,BioTech (BTech),4,OS,EWS,F,8310.0,8310.0,6
2020.0,NIT,NIT Jalandhar,BioTech (BTech),4,OS,OBC-NCL,GN,11252.0,14504.0,6
2020.0,NIT,NIT Jalandhar,BioTech (BTech),4,OS,OBC-NCL,F,13601.0,13601.0,6
2020.0,NIT,NIT Jalandhar,BioTech (BTech),4,OS,SC,GN,7054.0,8781.0,6
2020.0,NIT,NIT Jalandhar,BioTech (BTech),4,OS,SC,F,9235.0,9235.0,6
2020.0,NIT,NIT Jalandhar,BioTech (BTech),4,OS,ST,GN,2450.0,2870.0,6
2020.0,NIT,NIT Jalandhar,Chem Engg (BTech),4,HS,OPEN,GN,39307.0,62031.0,6
2020.0,NIT,NIT Jalandhar,Chem Engg (BTech),4,HS,OPEN,F,42971.0,50882.0,6
2020.0,NIT,NIT Jalandhar,Chem Engg (BTech),4,HS,EWS,GN,10660.0,13730.0,6
2020.0,NIT,NIT Jalandhar,Chem Engg (BTech),4,HS,EWS,F,14286.0,14286.0,6
2020.0,NIT,NIT Jalandhar,Chem Engg (BTech),4,HS,OBC-NCL,GN,27375.0,68643.0,6
2020.0,NIT,NIT Jalandhar,Chem Engg (BTech),4,HS,OBC-NCL,F,29241.0,29409.0,6
2020.0,NIT,NIT Jalandhar,Chem Engg (BTech),4,HS,SC,GN,6339.0,11861.0,6
2020.0,NIT,NIT Jalandhar,Chem Engg (BTech),4,HS,SC,F,12175.0,12175.0,6
2020.0,NIT,NIT Jalandhar,Chem Engg (BTech),4,OS,OPEN,GN,29014.0,34825.0,6
2020.0,NIT,NIT Jalandhar,Chem Engg (BTech),4,OS,OPEN,F,30611.0,41918.0,6
2020.0,NIT,NIT Jalandhar,Chem Engg (BTech),4,OS,OPEN (PWD),GN,1964.0,1964.0,6
2020.0,NIT,NIT Jalandhar,Chem Engg (BTech),4,OS,EWS,GN,6168.0,6413.0,6
2020.0,NIT,NIT Jalandhar,Chem Engg (BTech),4,OS,EWS,F,7687.0,7687.0,6
2020.0,NIT,NIT Jalandhar,Chem Engg (BTech),4,OS,OBC-NCL,GN,9835.0,12819.0,6
2020.0,NIT,NIT Jalandhar,Chem Engg (BTech),4,OS,OBC-NCL,F,15327.0,17389.0,6
2020.0,NIT,NIT Jalandhar,Chem Engg (BTech),4,OS,SC,GN,5550.0,7164.0,6
2020.0,NIT,NIT Jalandhar,Chem Engg (BTech),4,OS,SC,F,9345.0,9345.0,6
2020.0,NIT,NIT Jalandhar,Chem Engg (BTech),4,OS,ST,GN,1407.0,1884.0,6
2020.0,NIT,NIT Jalandhar,Chem Engg (BTech),4,OS,ST,F,3063.0,3063.0,6
2020.0,NIT,NIT Jalandhar,Civil (BTech),4,HS,OPEN,GN,26254.0,55528.0,6
2020.0,NIT,NIT Jalandhar,Civil (BTech),4,HS,OPEN,F,50367.0,56702.0,6
2020.0,NIT,NIT Jalandhar,Civil (BTech),4,HS,OPEN (PWD),GN,2185.0,2185.0,6
2020.0,NIT,NIT Jalandhar,Civil (BTech),4,HS,EWS,GN,11791.0,13430.0,6
2020.0,NIT,NIT Jalandhar,Civil (BTech),4,HS,EWS,F,9885.0,9885.0,6
2020.0,NIT,NIT Jalandhar,Civil (BTech),4,HS,OBC-NCL,GN,27150.0,49554.0,6
2020.0,NIT,NIT Jalandhar,Civil (BTech),4,HS,OBC-NCL,F,34584.0,67114.0,6
2020.0,NIT,NIT Jalandhar,Civil (BTech),4,HS,SC,GN,6508.0,9160.0,6
2020.0,NIT,NIT Jalandhar,Civil (BTech),4,HS,SC,F,9828.0,9828.0,6
2020.0,NIT,NIT Jalandhar,Civil (BTech),4,OS,OPEN,GN,22867.0,34831.0,6
2020.0,NIT,NIT Jalandhar,Civil (BTech),4,OS,OPEN,F,40892.0,47311.0,6
2020.0,NIT,NIT Jalandhar,Civil (BTech),4,OS,EWS,GN,5784.0,5902.0,6
2020.0,NIT,NIT Jalandhar,Civil (BTech),4,OS,EWS,F,8246.0,8246.0,6
2020.0,NIT,NIT Jalandhar,Civil (BTech),4,OS,EWS (PWD),GN,246.0,246.0,6
2020.0,NIT,NIT Jalandhar,Civil (BTech),4,OS,OBC-NCL,GN,9469.0,10948.0,6
2020.0,NIT,NIT Jalandhar,Civil (BTech),4,OS,OBC-NCL,F,17758.0,18773.0,6
2020.0,NIT,NIT Jalandhar,Civil (BTech),4,OS,OBC-NCL (PWD),GN,916.0,916.0,6
2020.0,NIT,NIT Jalandhar,Civil (BTech),4,OS,SC,GN,3279.0,4762.0,6
2020.0,NIT,NIT Jalandhar,Civil (BTech),4,OS,SC,F,8775.0,8775.0,6
2020.0,NIT,NIT Jalandhar,Civil (BTech),4,OS,ST,GN,910.0,930.0,6
2020.0,NIT,NIT Jalandhar,Civil (BTech),4,OS,ST,F,694.0,694.0,6
2020.0,NIT,NIT Jalandhar,CSE (BTech),4,HS,OPEN,GN,6183.0,10635.0,6
2020.0,NIT,NIT Jalandhar,CSE (BTech),4,HS,OPEN,F,10589.0,15820.0,6
2020.0,NIT,NIT Jalandhar,CSE (BTech),4,HS,OPEN (PWD),GN,354.0,354.0,6
2020.0,NIT,NIT Jalandhar,CSE (BTech),4,HS,EWS,GN,1652.0,3066.0,6
2020.0,NIT,NIT Jalandhar,CSE (BTech),4,HS,EWS,F,4015.0,4015.0,6
2020.0,NIT,NIT Jalandhar,CSE (BTech),4,HS,OBC-NCL,GN,2745.0,11292.0,6
2020.0,NIT,NIT Jalandhar,CSE (BTech),4,HS,OBC-NCL,F,11888.0,18488.0,6
2020.0,NIT,NIT Jalandhar,CSE (BTech),4,HS,OBC-NCL (PWD),GN,1333.0,1333.0,6
2020.0,NIT,NIT Jalandhar,CSE (BTech),4,HS,SC,GN,1078.0,3621.0,6
2020.0,NIT,NIT Jalandhar,CSE (BTech),4,HS,SC,F,3188.0,3600.0,6
2020.0,NIT,NIT Jalandhar,CSE (BTech),4,HS,SC (PWD),GN,119.0,119.0,6
2020.0,NIT,NIT Jalandhar,CSE (BTech),4,HS,ST,GN,2761.0,27269.0,6
2020.0,NIT,NIT Jalandhar,CSE (BTech),4,HS,ST,F,16777.0,16777.0,6
2020.0,NIT,NIT Jalandhar,CSE (BTech),4,OS,OPEN,GN,6140.0,8053.0,6
2020.0,NIT,NIT Jalandhar,CSE (BTech),4,OS,OPEN,F,9800.0,14424.0,6
2020.0,NIT,NIT Jalandhar,CSE (BTech),4,OS,OPEN (PWD),GN,317.0,317.0,6
2020.0,NIT,NIT Jalandhar,CSE (BTech),4,OS,EWS,GN,1235.0,1369.0,6
2020.0,NIT,NIT Jalandhar,CSE (BTech),4,OS,EWS,F,2464.0,3063.0,6
2020.0,NIT,NIT Jalandhar,CSE (BTech),4,OS,OBC-NCL,GN,2551.0,3014.0,6
2020.0,NIT,NIT Jalandhar,CSE (BTech),4,OS,OBC-NCL,F,4719.0,7840.0,6
2020.0,NIT,NIT Jalandhar,CSE (BTech),4,OS,OBC-NCL (PWD),GN,289.0,289.0,6
2020.0,NIT,NIT Jalandhar,CSE (BTech),4,OS,SC,GN,1197.0,1767.0,6
2020.0,NIT,NIT Jalandhar,CSE (BTech),4,OS,SC,F,3053.0,3232.0,6
2020.0,NIT,NIT Jalandhar,CSE (BTech),4,OS,ST,GN,435.0,883.0,6
2020.0,NIT,NIT Jalandhar,CSE (BTech),4,OS,ST,F,1579.0,1579.0,6
2020.0,NIT,NIT Jalandhar,EE (BTech),4,HS,OPEN,GN,22935.0,31928.0,6
2020.0,NIT,NIT Jalandhar,EE (BTech),4,HS,OPEN,F,30000.0,34281.0,6
2020.0,NIT,NIT Jalandhar,EE (BTech),4,HS,OPEN (PWD),GN,1308.0,1308.0,6
2020.0,NIT,NIT Jalandhar,EE (BTech),4,HS,EWS,GN,5422.0,5506.0,6
2020.0,NIT,NIT Jalandhar,EE (BTech),4,HS,EWS,F,6799.0,6799.0,6
2020.0,NIT,NIT Jalandhar,EE (BTech),4,HS,OBC-NCL,GN,27119.0,33159.0,6
2020.0,NIT,NIT Jalandhar,EE (BTech),4,HS,OBC-NCL,F,32145.0,32145.0,6
2020.0,NIT,NIT Jalandhar,EE (BTech),4,HS,SC,GN,5495.0,6485.0,6
2020.0,NIT,NIT Jalandhar,EE (BTech),4,HS,SC,F,11083.0,11083.0,6
2020.0,NIT,NIT Jalandhar,EE (BTech),4,HS,ST,GN,1434.0,1434.0,6
2020.0,NIT,NIT Jalandhar,EE (BTech),4,OS,OPEN,GN,17285.0,19600.0,6
2020.0,NIT,NIT Jalandhar,EE (BTech),4,OS,OPEN,F,28318.0,28968.0,6
2020.0,NIT,NIT Jalandhar,EE (BTech),4,OS,OPEN (PWD),F,1500.0,1500.0,6
2020.0,NIT,NIT Jalandhar,EE (BTech),4,OS,EWS,GN,3183.0,3398.0,6
2020.0,NIT,NIT Jalandhar,EE (BTech),4,OS,EWS,F,5708.0,5708.0,6
2020.0,NIT,NIT Jalandhar,EE (BTech),4,OS,OBC-NCL,GN,5240.0,6107.0,6
2020.0,NIT,NIT Jalandhar,EE (BTech),4,OS,OBC-NCL,F,13353.0,13353.0,6
2020.0,NIT,NIT Jalandhar,EE (BTech),4,OS,OBC-NCL (PWD),GN,427.0,427.0,6
2020.0,NIT,NIT Jalandhar,EE (BTech),4,OS,SC,GN,3178.0,3914.0,6
2020.0,NIT,NIT Jalandhar,EE (BTech),4,OS,SC,F,7178.0,7178.0,6
2020.0,NIT,NIT Jalandhar,EE (BTech),4,OS,ST,GN,382.0,1447.0,6
2020.0,NIT,NIT Jalandhar,ECE (BTech),4,HS,OPEN,GN,13708.0,20214.0,6
2020.0,NIT,NIT Jalandhar,ECE (BTech),4,HS,OPEN,F,24105.0,29045.0,6
2020.0,NIT,NIT Jalandhar,ECE (BTech),4,HS,OPEN (PWD),GN,765.0,765.0,6
2020.0,NIT,NIT Jalandhar,ECE (BTech),4,HS,EWS,GN,4208.0,5367.0,6
2020.0,NIT,NIT Jalandhar,ECE (BTech),4,HS,EWS,F,6641.0,6641.0,6
2020.0,NIT,NIT Jalandhar,ECE (BTech),4,HS,OBC-NCL,GN,11408.0,26314.0,6
2020.0,NIT,NIT Jalandhar,ECE (BTech),4,HS,OBC-NCL,F,20774.0,26365.0,6
2020.0,NIT,NIT Jalandhar,ECE (BTech),4,HS,SC,GN,4265.0,5451.0,6
