Year,IIIT Name,Overall Avg (LPA),CSE Avg (LPA),ECE Avg (LPA)
2020,IIIT Allahabad,20.83,20.83,16
2020,ABV-IIITM Gwalior,16.85,27.23,16
2020,IIITDM Jabalpur,6.42,8.5,21.49
2020,IIITDM Kancheepuram,9.8,9.6,11.09
2020,IIIT Kurnool,7.64,7.64,8.3
2020,IIIT Guwahati,15,,6.26
2020,IIIT Sri City,12.02,,10.01
2020,IIIT Vadodara,11,13,12
2020,IIIT Kota,10.42,,13.09
2020,IIIT Una,8,12.38,9.9
2020,IIIT Kalyani,6.5,6.2,10.72
2020,IIIT Lucknow,18.42,18.42,18.42
2020,IIIT Dharwad,7,7,10
2020,IIIT Kottayam,,,11.91
2020,IIIT Manipur,,,8.7
2020,IIIT Nagpur,10.43,8.75,13.25
2020,IIIT Pune,7.5,7.5,17.12
2020,IIIT Ranchi,7.2,6.2,12.14
2020,IIIT Bhopal,12.32,,16.98
2020,IIIT Bhagalpur,10.35,,10.35
2020,IIIT Raichur,12,,
2020,IIIT Agartala,22,,13.83
2020,IIIT Surat,13.99,,13.99
2020,IIIT Hyderabad,26.44,,21.39
2020,IIIT Bangalore,24.88,,36.2
2020,IIIT Bhubaneswar,15.8,,8
2020,IIIT Naya Raipur,8,,13.9
2020,IIIT Delhi,16.97,16.97,25.39
,,,,
2021,IIIT Allahabad,21.85,22.5,21.85
2021,ABV-IIITM Gwalior,16.85,16.85,16.85
2021,IIITDM Jabalpur,21.49,11.23,
2021,IIITDM Kancheepuram,8.89,12.95,11.36
2021,IIIT Kurnool,7.64,7.64,8.3
2021,IIIT Guwahati,10.13,11.59,6.48
2021,IIIT Sri City,18.92,18.92,10.01
2021,IIIT Vadodara,14.08,12,12
2021,IIIT Kota,10.6,13.09,13.09
2021,IIIT Una,11.02,12.38,9.9
2021,IIIT Kalyani,8,8,8
2021,IIIT Lucknow,18.65,18.65,18.65
2021,IIIT Dharwad,7.3,7.3,7.3
2021,IIIT Kottayam,9.07,9.07,9.07
2021,IIIT Manipur,,9,6.5
2021,IIIT Nagpur,8.44,8.44,13.11
2021,IIIT Pune,14.5,17.12,17.12
2021,IIIT Ranchi,7.2,7.2,12.8
2021,IIIT Bhopal,9.26,19.1,8.23
2021,IIIT Bhagalpur,10.35,10.35,10.35
2021,IIIT Raichur,18,,
2021,IIIT Agartala,22,22,13.83
2021,IIIT Surat,9.48,13.5,13.99
2021,IIIT Hyderabad,20.32,30,24
2021,IIIT Bangalore,20.1,16.5,14.2
2021,IIIT Bhubaneswar,6.5,11,8
2021,IIIT Naya Raipur,8,,13.9
2021,IIIT Delhi,16.81,16.81,16.81
,,,,
2022,IIIT Allahabad,30.68,24.31,32.54
2022,ABV-IIITM Gwalior,17,20.11,10
2022,IIITDM Jabalpur,14.81,16.27,14.46
2022,IIITDM Kancheepuram,10.2,11.6,11.36
2022,IIIT Kurnool,9.51,8,9.51
2022,IIIT Guwahati,15.34,13.72,10.67
2022,IIIT Sri City,14,13.2,9.48
2022,IIIT Vadodara,14.08,10.44,14.08
2022,IIIT Kota,14.37,12.35,12.37
2022,IIIT Una,12.1,9.24,11
2022,IIIT Kalyani,10.71,9.13,10.73
2022,IIIT Lucknow,26.07,26.85,26.07
2022,IIIT Dharwad,8,8.7,8
2022,IIIT Kottayam,10.45,11.2,10.45
2022,IIIT Manipur,9.9,8.3,9.9
2022,IIIT Nagpur,12.04,12.44,10.1
2022,IIIT Pune,16.83,12.95,16.83
2022,IIIT Ranchi,12.8,10.14,12.8
2022,IIIT Bhopal,14.5,13.4,9.34
2022,IIIT Bhagalpur,12,9.87,11.06
2022,IIIT Raichur,22.5,10.8,22.5
2022,IIIT Agartala,23,15,23
2022,IIIT Surat,12.1,12.7,13.52
2022,IIIT Hyderabad,30.5,29.7,29
2022,IIIT Bangalore,24,31.2,15.9
2022,IIIT Bhubaneswar,9,8.5,10.67
2022,IIIT Naya Raipur,12.67,14.75,10.72
2022,IIIT Delhi,20.86,20.44,20.86
,,,,
2023,IIIT Allahabad,32.83,32.83,29.11
2023,ABV-IIITM Gwalior,24.31,22.2,24.31
2023,IIITDM Jabalpur,21.63,25.08,23.48
2023,IIITDM Kancheepuram,8.8,12.95,11.36
2023,IIIT Kurnool,10.79,10.79,9.08
2023,IIIT Guwahati,15.5,17,11
2023,IIIT Sri City,20.3,20.7,17.01
2023,IIIT Vadodara,15.43,15.43,11.34
2023,IIIT Kota,14.6,15.76,11.31
2023,IIIT Una,14,12,13.8
2023,IIIT Kalyani,12.76,12.76,12.76
2023,IIIT Lucknow,30.52,30.52,30.52
2023,IIIT Dharwad,11.52,11.97,11.43
2023,IIIT Kottayam,14.32,14.32,14.32
2023,IIIT Manipur,8.7,8.7,8.7
2023,IIIT Nagpur,13.67,13.89,14.87
2023,IIIT Pune,16.58,19,16
2023,IIIT Ranchi,15.95,17.01,17.01
2023,IIIT Bhopal,20.51,22.56,18.03
2023,IIIT Bhagalpur,15.61,14.11,15.91
2023,IIIT Raichur,18,18,17.01
2023,IIIT Agartala,12,23,17
2023,IIIT Surat,12.52,14.21,9.87
2023,IIIT Hyderabad,23.43,32.2,27.24
2023,IIIT Bangalore,29.6,35,25.55
2023,IIIT Bhubaneswar,,13,9
2023,IIIT Naya Raipur,16.56,19.64,14.87
2023,IIIT Delhi,23.65,28.78,25.39
,,,,
,,,,
2024,IIIT Allahabad,25.78,25.78,
2024,ABV-IIITM Gwalior,22.11,22.11,
2024,IIITDM Jabalpur,19.27,19.27,
2024,IIITDM Kancheepuram,9.75,13.86,11.91
2024,IIIT Kurnool,8.2,8.2,8.2
