year,institute_name,institute_type,overall_avg_ctc,cse_avg_ctc,ece_avg_ctc,cse_vs_ece_gap,ee_avg_ctc,me_avg_ctc,civil_avg_ctc,chemical_avg_ctc,city,state,city_tier,total_fee_4yr,total_fee_5yr,hostel_available,campus_area,infra_rating,campus_status,offers_5yr_program
2020,iiit gwalior,IIIT,16.85,27.23,16.0,11.23,,,,,Gwalior,Madhya Pradesh,2,907000,790000.0,True,160.0,4.7,Available,True
2020,iiit gwalior,IIIT,16.85,27.23,16.0,11.23,,,,,Imphal,Manipur,3,1197000,0.0,False,0.0,4.2,Under Construction,False
2020,iiit agartala,IIIT,22.0,19.5,13.83,5.67,,,,,Agartala,Tripura,3,811000,0.0,False,0.0,4.3,Under Construction,False
2020,iiit allahabad,IIIT,20.83,20.83,16.0,4.829999999999998,,,,,Prayagraj,Uttar Pradesh,2,844000,1536000.0,True,100.0,4.5,Available,True
2020,iiit bangalore,IIIT,24.88,32.3,36.2,-3.9000000000000057,,,,,Bangalore,Karnataka,1,2024000,2632000.0,True,9.0,4.5,Available,True
2020,iiit bhagalpur,IIIT,10.35,10.76,10.35,0.4100000000000001,,,,,Bhagalpur,Bihar,3,1345000,0.0,True,50.0,4.3,Available,False
2020,iiit bhopal,IIIT,12.32,16.9,16.98,-0.0800000000000018,,,,,Bhopal,Madhya Pradesh,2,720000,0.0,False,0.0,4.3,Under Construction,False
2020,iiit bhubaneswar,IIIT,15.8,10.0,8.0,2.0,,,,,Bhubaneswar,Odisha,1,996000,0.0,True,23.0,3.9,Available,False
2020,iiit delhi,IIIT,16.97,16.97,25.39,-8.420000000000002,,,,,Delhi,Delhi,1,2399000,0.0,True,25.0,4.5,Available,False
2020,iiit dharwad,IIIT,7.0,7.0,10.0,-3.0,,,,,Dharwad,Karnataka,3,1630000,0.0,True,60.0,4.5,Available,False
2020,iiit guwahati,IIIT,15.0,14.49,6.26,8.23,,,,,Guwahati,Assam,2,1343000,0.0,True,67.0,4.5,Available,False
2020,iiit hyderabad,IIIT,26.44,30.744999999999997,21.39,9.354999999999997,,,,,Hyderabad,Telangana,1,1800000,2000000.0,True,66.0,4.7,Available,True
2020,iiit kalyani,IIIT,6.5,6.2,10.72,-4.5200000000000005,,,,,Kalyani,West Bengal,3,912000,0.0,False,0.0,4.4,Under Construction,False
2020,iiit kota,IIIT,10.42,13.24,13.09,0.1500000000000003,,,,,Kota,Rajasthan,2,1063000,0.0,True,100.37,4.3,Available,False
2020,iiit kottayam,IIIT,11.91,11.93,11.91,0.0199999999999995,,,,,Kottayam,Kerala,3,1162000,0.0,True,53.0,4.5,Available,False
2020,iiit kurnool,IIIT,7.64,7.64,8.3,-0.660000000000001,,,,,Kurnool,Andhra Pradesh,3,913000,972000.0,True,151.0,4.5,Available,True
2020,iiit lucknow,IIIT,18.42,18.42,18.42,0.0,,,,,Lucknow,Uttar Pradesh,2,979000,0.0,True,50.0,4.4,Available,False
2020,iiit manipur,IIIT,8.7,8.7,8.7,0.0,,,,,Imphal,Manipur,1,1197000,0.0,True,13.0,3.6,Available,False
2020,iiit nagpur,IIIT,10.43,8.75,13.25,-4.5,,,,,Nagpur,Maharashtra,2,1184000,0.0,True,100.0,4.3,Available,False
2020,iiit naya raipur,IIIT,8.0,16.25,13.9,2.3499999999999996,,,,,Naya Raipur,Chhattisgarh,2,653250,840000.0,True,50.0,4.3,Available,True
2020,iiit pune,IIIT,7.5,7.5,17.12,-9.62,,,,,Pune,Maharashtra,1,1200000,0.0,False,0.0,4.4,Under Construction,False
2020,iiit raichur,IIIT,12.0,12.14,17.01,-4.870000000000001,,,,,Raichur,Karnataka,3,1093000,0.0,False,0.0,4.4,Under Construction,False
2020,iiit ranchi,IIIT,7.2,6.2,12.14,-5.94,,,,,Ranchi,Jharkhand,2,1405000,0.0,False,0.0,4.2,Under Construction,False
2020,iiit sri city,IIIT,12.02,16.71,10.01,6.700000000000001,,,,,Sri City,Andhra Pradesh,3,1775000,0.0,False,80.0,4.4,Available,False
2020,iiit surat,IIIT,13.99,13.625,13.99,-0.3650000000000002,,,,,Surat,Gujarat,1,937000,0.0,False,28.71,4.3,Available,False
2020,iiit una,IIIT,8.0,12.38,9.9,2.4800000000000004,,,,,Una,Himachal Pradesh,3,1227000,0.0,True,80.0,4.3,Available,False
2020,iiit vadodara,IIIT,11.0,13.0,12.0,1.0,,,,,Vadodara,Gujarat,2,1580000,0.0,False,0.0,4.4,Under Construction,False
2020,iiitdm jabalpur,IIIT,6.42,8.5,21.49,-12.989999999999998,,,,,Jabalpur,Madhya Pradesh,2,797000,0.0,True,260.0,4.8,Available,False
2020,iiitdm kancheepuram,IIIT,9.8,9.6,11.09,-1.4900000000000002,,,,,Chennai,Tamil Nadu,1,1322000,1322000.0,True,51.75,4.6,Available,True
2021,iiit gwalior,IIIT,16.85,16.85,16.85,0.0,,,,,Gwalior,Madhya Pradesh,2,907000,790000.0,True,160.0,4.7,Available,True
2021,iiit gwalior,IIIT,16.85,16.85,16.85,0.0,,,,,Imphal,Manipur,3,1197000,0.0,False,0.0,4.2,Under Construction,False
2021,iiit agartala,IIIT,22.0,22.0,13.83,8.17,,,,,Agartala,Tripura,3,811000,0.0,False,0.0,4.3,Under Construction,False
2021,iiit allahabad,IIIT,21.85,22.5,21.85,0.6499999999999986,,,,,Prayagraj,Uttar Pradesh,2,844000,1536000.0,True,100.0,4.5,Available,True
2021,iiit bangalore,IIIT,20.1,16.5,14.2,2.3000000000000007,,,,,Bangalore,Karnataka,1,2024000,2632000.0,True,9.0,4.5,Available,True
2021,iiit bhagalpur,IIIT,10.35,10.35,10.35,0.0,,,,,Bhagalpur,Bihar,3,1345000,0.0,True,50.0,4.3,Available,False
