year,institute_name,institute_type,overall_avg_ctc,cse_avg_ctc,ece_avg_ctc,cse_vs_ece_gap,ee_avg_ctc,me_avg_ctc,civil_avg_ctc,chemical_avg_ctc
2020,ABV-IIITM Gwalior,IIIT,16.85,27.23,16.0,11.23,,,,
2020,IIIT Agartala,IIIT,22.0,19.5,13.83,5.67,,,,
2020,IIIT Allahabad,IIIT,20.83,20.83,16.0,4.829999999999998,,,,
2020,IIIT Bangalore,IIIT,24.88,32.3,36.2,-3.9000000000000057,,,,
2020,IIIT Bhagalpur,IIIT,10.35,10.76,10.35,0.4100000000000001,,,,
2020,IIIT Bhopal,IIIT,12.32,16.9,16.98,-0.0800000000000018,,,,
2020,IIIT Bhubaneswar,IIIT,15.8,10.0,8.0,2.0,,,,
2020,IIIT Delhi,IIIT,16.97,16.97,25.39,-8.420000000000002,,,,
2020,IIIT Dharwad,IIIT,7.0,7.0,10.0,-3.0,,,,
2020,IIIT Guwahati,IIIT,15.0,14.49,6.26,8.23,,,,
2020,IIIT Hyderabad,IIIT,26.44,30.744999999999997,21.39,9.354999999999997,,,,
2020,IIIT Kalyani,IIIT,6.5,6.2,10.72,-4.5200000000000005,,,,
2020,IIIT Kota,IIIT,10.42,13.24,13.09,0.1500000000000003,,,,
2020,IIIT Kottayam,IIIT,11.91,11.93,11.91,0.0199999999999995,,,,
2020,IIIT Kurnool,IIIT,7.64,7.64,8.3,-0.660000000000001,,,,
2020,IIIT Lucknow,IIIT,18.42,18.42,18.42,0.0,,,,
2020,IIIT Manipur,IIIT,8.7,8.7,8.7,0.0,,,,
2020,IIIT Nagpur,IIIT,10.43,8.75,13.25,-4.5,,,,
2020,IIIT Naya Raipur,IIIT,8.0,16.25,13.9,2.3499999999999996,,,,
2020,IIIT Pune,IIIT,7.5,7.5,17.12,-9.62,,,,
2020,IIIT Raichur,IIIT,12.0,12.14,17.01,-4.870000000000001,,,,
2020,IIIT Ranchi,IIIT,7.2,6.2,12.14,-5.94,,,,
2020,IIIT Sri City,IIIT,12.02,16.71,10.01,6.700000000000001,,,,
2020,IIIT Surat,IIIT,13.99,13.625,13.99,-0.3650000000000002,,,,
2020,IIIT Una,IIIT,8.0,12.38,9.9,2.4800000000000004,,,,
2020,IIIT Vadodara,IIIT,11.0,13.0,12.0,1.0,,,,
2020,IIITDM Jabalpur,IIIT,6.42,8.5,21.49,-12.989999999999998,,,,
2020,IIITDM Kancheepuram,IIIT,9.8,9.6,11.09,-1.4900000000000002,,,,
2021,ABV-IIITM Gwalior,IIIT,16.85,16.85,16.85,0.0,,,,
2021,IIIT Agartala,IIIT,22.0,22.0,13.83,8.17,,,,
2021,IIIT Allahabad,IIIT,21.85,22.5,21.85,0.6499999999999986,,,,
2021,IIIT Bangalore,IIIT,20.1,16.5,14.2,2.3000000000000007,,,,
2021,IIIT Bhagalpur,IIIT,10.35,10.35,10.35,0.0,,,,
2021,IIIT Bhopal,IIIT,9.26,19.1,8.23,10.87,,,,
2021,IIIT Bhubaneswar,IIIT,6.5,11.0,8.0,3.0,,,,
2021,IIIT Delhi,IIIT,16.81,16.81,16.81,0.0,,,,
2021,IIIT Dharwad,IIIT,7.3,7.3,7.3,0.0,,,,
2021,IIIT Guwahati,IIIT,10.13,11.59,6.48,5.109999999999999,,,,
2021,IIIT Hyderabad,IIIT,20.32,30.0,24.0,6.0,,,,
2021,IIIT Kalyani,IIIT,8.0,8.0,8.0,0.0,,,,
2021,IIIT Kota,IIIT,10.6,13.09,13.09,0.0,,,,
2021,IIIT Kottayam,IIIT,9.07,9.07,9.07,0.0,,,,
2021,IIIT Kurnool,IIIT,7.64,7.64,8.3,-0.660000000000001,,,,
2021,IIIT Lucknow,IIIT,18.65,18.65,18.65,0.0,,,,
2021,IIIT Manipur,IIIT,7.75,9.0,6.5,2.5,,,,
2021,IIIT Nagpur,IIIT,8.44,8.44,13.11,-4.67,,,,
2021,IIIT Naya Raipur,IIIT,8.0,16.25,13.9,2.3499999999999996,,,,
2021,IIIT Pune,IIIT,14.5,17.12,17.12,0.0,,,,
2021,IIIT Raichur,IIIT,18.0,12.14,17.01,-4.870000000000001,,,,
2021,IIIT Ranchi,IIIT,7.2,7.2,12.8,-5.6000000000000005,,,,
2021,IIIT Sri City,IIIT,18.92,18.92,10.01,8.910000000000002,,,,
2021,IIIT Surat,IIIT,9.48,13.5,13.99,-0.4900000000000002,,,,
2021,IIIT Una,IIIT,11.02,12.38,9.9,2.4800000000000004,,,,
2021,IIIT Vadodara,IIIT,14.08,12.0,12.0,0.0,,,,
2021,IIITDM Jabalpur,IIIT,21.49,11.23,21.49,-10.259999999999998,,,,
2021,IIITDM Kancheepuram,IIIT,8.89,12.95,11.36,1.59,,,,
2022,ABV-IIITM Gwalior,IIIT,17.0,20.11,10.0,10.11,,,,
2022,IIIT Agartala,IIIT,23.0,15.0,23.0,-8.0,,,,
2022,IIIT Allahabad,IIIT,30.68,24.31,32.54,-8.23,,,,
2022,IIIT Bangalore,IIIT,24.0,31.2,15.9,15.3,,,,
2022,IIIT Bhagalpur,IIIT,12.0,9.87,11.06,-1.1900000000000013,,,,
2022,IIIT Bhopal,IIIT,14.5,13.4,9.34,4.0600000000000005,,,,
2022,IIIT Bhubaneswar,IIIT,9.0,8.5,10.67,-2.17,,,,
2022,IIIT Delhi,IIIT,20.86,20.44,20.86,-0.4199999999999981,,,,
2022,IIIT Dharwad,IIIT,8.0,8.7,8.0,0.6999999999999993,,,,
2022,IIIT Guwahati,IIIT,15.34,13.72,10.67,3.0500000000000007,,,,
2022,IIIT Hyderabad,IIIT,30.5,29.7,29.0,0.6999999999999993,,,,
2022,IIIT Kalyani,IIIT,10.71,9.13,10.73,-1.5999999999999996,,,,
2022,IIIT Kota,IIIT,14.37,12.35,12.37,-0.0199999999999995,,,,
2022,IIIT Kottayam,IIIT,10.45,11.2,10.45,0.75,,,,
2022,IIIT Kurnool,IIIT,9.51,8.0,9.51,-1.5099999999999998,,,,
