Year,NIT Name,Overall Avg CTC (LPA),CSE Avg (LPA),ECE Avg (LPA),EE Avg (LPA),ME Avg (LPA),Chemical Avg (LPA),Civil Avg (LPA)
2020,NIT Trichy,12,12.93,12.93,9.5,9.16,12.93,
2020,NIT Surathkal,19.66,19.66,16.25,16.25,,16.25,16.25
2020,NIT Rourkela,8,13.8,10.6,13.62,,9.36,10.5
2020,NIT Warangal,14.35,18.55,9.4,22,,,
2020,NIT Calicut,17.68,17.68,12.11,12.11,8,10.68,12
2020,NIT Durgapur,8,21.45,17.49,14.61,,8.87,8
2020,NIT Kurukshetra,,17.63,9,10.49,8.23,,7.88
2020,MNIT Jaipur,9.1,18.39,9.1,9.94,,,6
2020,MNNIT Allahabad,,17.68,11,17.68,17.68,9,6.54
2020,VNIT Nagpur,,,15,10.63,,,8.1
2020,NIT Jamshedpur,,12.63,12.63,12.63,10.91,10.2,12.63
2020,NIT Raipur,10.8,10.8,10.8,10.8,7.77,,8.53
2020,NIT Silchar,13.34,13.86,13.34,13.34,13.34,7.15,6.03
2020,NIT Hamirpur,12.84,15.75,13,6.5,5,,
2020,NIT Jalandhar,10,8.57,14,,7.91,7.45,7.15
2020,NIT Patna,9.9,14,9.9,9.9,9.9,6.8,9.9
2020,NIT Agartala,6.95,14.71,13.83,15,6.5,,6.95
2020,NIT Srinagar,,13.8,10.7,9.42,9.2,,8.6
2020,NIT Meghalaya,9.7,9.7,9.7,9.7,9.7,,9.7
2020,NIT Manipur,6,6,,6,6,8.21,6
2020,NIT Mizoram,8.4,8.4,8.4,8.4,,6.8,
2020,NIT Nagaland,5.32,4.22,5.25,5.25,4.56,8.09,4.22
2020,NIT Arunachal Pradesh,6.2,7.2,7.2,7.2,7.2,,7.2
2020,NIT Sikkim,9.5,6,12.57,10,,7.11,6.98
2020,NIT Puducherry,8,6.8,7.9,7.9,7.9,10,7.9
2020,NIT Goa,10.87,9.95,8.5,7.56,6.63,,5.83
2020,NIT Delhi,8.8,11.2,9,6.4,8.8,,
2020,NIT Uttarakhand,9.48,9.45,10.36,8.43,5.92,,6
2020,NIT Andhra Pradesh,6.54,,,6.54,6,,6.54
2020,IIEST Shibpur,7.3,,16.5,8,7.3,,
,,,,,,,,
2021,NIT Trichy,10.9,11,12.93,9.5,8.7,12,6.5
2021,NIT Surathkal,21.33,21.33,16.25,16.25,,,16.25
2021,NIT Rourkela,9.8,20.88,33,14.82,9.8,9.36,10.5
2021,NIT Warangal,13,13,,16,,,14.35
2021,NIT Calicut,17.14,17.14,12.11,12.11,12.6,,8.09
2021,NIT Durgapur,,21.45,17.49,14.61,9.72,8.87,7.39
2021,NIT Kurukshetra,11.37,15.54,5,10.49,11.37,,7.88
2021,MNIT Jaipur,10,18.39,18.01,9.94,,,10
2021,MNNIT Allahabad,,19.08,17.68,17.68,17.68,9,11.4
2021,VNIT Nagpur,10,11.94,15.5,11.16,10.11,,7.37
